,Unnamed: 0,id,title,subcategories,abstract,doi,created,updated,authors,main_categories
0,91,1408.1868,on the structure of classical realizability models of zf,"['cs.lo', 'math.lo']","the technique of ""classical realizability"" is an extension of the method of ""forcing""; it permits to extend the curry-howard correspondence between proofs and programs, to zermelo-fraenkel set theory and to build new models of zf, called ""realizability models"". the structure of these models is, in general, much more complicated than that of the particular case of ""forcing models"". we show here that the class of constructible sets of any realizability model is an elementary extension of the constructibles of the ground model (a trivial fact in the case of forcing, since these classes are identical). it follows that shoenfield absoluteness theorem applies to realizability models.",10.4230/lipics.types.2014.146,8/8/2014,,['krivine'],['cs']
1,95,1408.6923,gpgpu computing,['cs.dc'],"since the first idea of using gpu to general purpose computing, things have evolved over the years and now there are several approaches to gpu programming. gpu computing practically began with the introduction of cuda (compute unified device architecture) by nvidia and stream by amd. these are apis designed by the gpu vendors to be used together with the hardware that they provide. a new emerging standard, opencl (open computing language) tries to unify different gpu general computing api implementations and provides a framework for writing programs executed across heterogeneous platforms consisting of both cpus and gpus. opencl provides parallel computing using task-based and data-based parallelism. in this paper we will focus on the cuda parallel computing architecture and programming model introduced by nvidia. we will present the benefits of the cuda programming model. we will also compare the two main approaches, cuda and amd app (stream) and the new framwork, opencl that tries to unify the gpgpu computing models.",,8/29/2014,,"['oancea', 'andrei', 'dragoescu']",['math']
2,89,1408.0848,multilayer bootstrap networks,"['cs.lg', 'cs.ne', 'stat.ml']","multilayer bootstrap network builds a gradually narrowed multilayer nonlinear network from bottom up for unsupervised nonlinear dimensionality reduction. each layer of the network is a nonparametric density estimator. it consists of a group of k-centroids clusterings. each clustering randomly selects data points with randomly selected features as its centroids, and learns a one-hot encoder by one-nearest-neighbor optimization. geometrically, the nonparametric density estimator at each layer projects the input data space to a uniformly-distributed discrete feature space, where the similarity of two data points in the discrete feature space is measured by the number of the nearest centroids they share in common. the multilayer network gradually reduces the nonlinear variations of data from bottom up by building a vast number of hierarchical trees implicitly on the original data space. theoretically, the estimation error caused by the nonparametric density estimator is proportional to the correlation between the clusterings, both of which are reduced by the randomization steps.",,8/4/2014,3/6/2018,['zhang'],['cs']
3,74,1404.3311,generating synchronizing automata with large reset lengths,['cs.fl'],"we study synchronizing automata with the shortest reset words of relatively large length. first, we refine the frankl-pin result on the length of the shortest words of rank $m$, and the b\'eal, berlinkov, perrin, and steinberg results on the length of the shortest reset words in one-cluster automata. the obtained results are useful in computation aimed in extending the class of small automata for which the \v{c}ern\'y conjecture is verified and discovering new automata with special properties regarding synchronization.",,4/12/2014,3/28/2018,"['kisielewicz', 'szykuła']",['math']
4,18,1111248,the distance function on a computable graph,"['math.lo', 'cs.lo']","we apply the techniques of computable model theory to the distance function of a graph. this task leads us to adapt the definitions of several truth-table reducibilities so that they apply to functions as well as to sets, and we prove assorted theorems about the new reducibilities and about functions which have nonincreasing computable approximations. finally, we show that the spectrum of the distance function can consist of an arbitrary single btt-degree which is approximable from above, or of all such btt-degrees at once, or of the bt-degrees of exactly those functions approximable from above in at most n steps.",,11/10/2011,,"['calvert', 'miller', 'reimann']",['cs']
5,44,1309531,conditioning of random block subdictionaries with applications to   block-sparse recovery and regression,"['math.st', 'cs.it', 'math.it', 'stat.th']","the linear model, in which a set of observations is assumed to be given by a linear combination of columns of a matrix, has long been the mainstay of the statistics and signal processing literature. one particular challenge for inference under linear models is understanding the conditions on the dictionary under which reliable inference is possible. this challenge has attracted renewed attention in recent years since many modern inference problems deal with the ""underdetermined"" setting, in which the number of observations is much smaller than the number of columns in the dictionary. this paper makes several contributions for this setting when the set of observations is given by a linear combination of a small number of groups of columns of the dictionary, termed the ""block-sparse"" case. first, it specifies conditions on the dictionary under which most block subdictionaries are well conditioned. this result is fundamentally different from prior work on block-sparse inference because (i) it provides conditions that can be explicitly computed in polynomial time, (ii) the given conditions translate into near-optimal scaling of the number of columns of the block subdictionaries as a function of the number of observations for a large class of dictionaries, and (iii) it suggests that the spectral norm and the quadratic-mean block coherence of the dictionary (rather than the worst-case coherences) fundamentally limit the scaling of dimensions of the well-conditioned block subdictionaries. second, this paper investigates the problems of block-sparse recovery and block-sparse regression in underdetermined settings. near-optimal block-sparse recovery and regression are possible for certain dictionaries as long as the dictionary satisfies easily computable conditions and the coefficients describing the linear combination of groups of columns can be modeled through a mild statistical prior.",10.1109/tit.2015.2429632,9/20/2013,8/28/2016,"['bajwa', 'duarte', 'calderbank']",['math']
6,93,1408319,on the neighbour sum distinguishing index of planar graphs,"['cs.dm', 'math.co']","let $c$ be a proper edge colouring of a graph $g=(v,e)$ with integers $1,2,\ldots,k$. then $k\geq \delta(g)$, while by vizing's theorem, no more than $k=\delta(g)+1$ is necessary for constructing such $c$. on the course of investigating irregularities in graphs, it has been moreover conjectured that only slightly larger $k$, i.e., $k=\delta(g)+2$ enables enforcing additional strong feature of $c$, namely that it attributes distinct sums of incident colours to adjacent vertices in $g$ if only this graph has no isolated edges and is not isomorphic to $c_5$. we prove the conjecture is valid for planar graphs of sufficiently large maximum degree. in fact even stronger statement holds, as the necessary number of colours stemming from the result of vizing is proved to be sufficient for this family of graphs. specifically, our main result states that every planar graph $g$ of maximum degree at least $28$ which contains no isolated edges admits a proper edge colouring $c:e\to\{1,2,\ldots,\delta(g)+1\}$ such that $\sum_{e\ni u}c(e)\neq \sum_{e\ni v}c(e)$ for every edge $uv$ of $g$.",10.1002/jgt.22098,8/14/2014,3/5/2018,"['bonamy', 'przybyło']",['cs']
7,69,1403.0505,a search for quantum coin-flipping protocols using optimization   techniques,"['math.oc', 'cs.cr', 'quant-ph']","coin-flipping is a cryptographic task in which two physically separated, mistrustful parties wish to generate a fair coin-flip by communicating with each other. chailloux and kerenidis (2009) designed quantum protocols that guarantee coin-flips with near optimal bias. the probability of any outcome in these protocols is provably at most $1/\sqrt{2} + \delta$ for any given $\delta > 0$. however, no explicit description of these protocols is known, and the number of rounds in the protocols tends to infinity as $\delta$ goes to 0. in fact, the smallest bias achieved by known explicit protocols is $1/4$ (ambainis, 2001).   we take a computational optimization approach, based mostly on convex optimization, to the search for simple and explicit quantum strong coin-flipping protocols. we present a search algorithm to identify protocols with low bias within a natural class, protocols based on bit-commitment (nayak and shor, 2003) restricting to commitment states used by mochon (2005). an analysis of the resulting protocols via semidefinite programs (sdps) unveils a simple structure. for example, we show that the sdps reduce to second-order cone programs. we devise novel cheating strategies in the protocol by restricting the semidefinite programs and use the strategies to prune the search.   the techniques we develop enable a computational search for protocols given by a mesh over the parameter space. the protocols have up to six rounds of communication, with messages of varying dimension and include the best known explicit protocol (with bias 1/4). we conduct two kinds of search: one for protocols with bias below 0.2499, and one for protocols in the neighbourhood of protocols with bias 1/4. neither of these searches yields better bias. based on the mathematical ideas behind the search algorithm, we prove a lower bound on the bias of a class of four-round protocols.",10.1007/s10107-015-0909-y,3/3/2014,,"['nayak', 'sikora', 'tunçel']",['math']
8,94,1408.6771,flat foldings of plane graphs with prescribed angles and edge lengths,"['cs.cg', 'cs.ds']","when can a plane graph with prescribed edge lengths and prescribed angles (from among $\{0,180^\circ, 360^\circ$\}) be folded flat to lie in an infinitesimally thin line, without crossings? this problem generalizes the classic theory of single-vertex flat origami with prescribed mountain-valley assignment, which corresponds to the case of a cycle graph. we characterize such flat-foldable plane graphs by two obviously necessary but also sufficient conditions, proving a conjecture made in 2001: the angles at each vertex should sum to $360^\circ$, and every face of the graph must itself be flat foldable. this characterization leads to a linear-time algorithm for testing flat foldability of plane graphs with prescribed edge lengths and angles, and a polynomial-time algorithm for counting the number of distinct folded states.",10.20382/jocg.v9i1,8/28/2014,3/18/2018,"['abel', 'demaine', 'demaine', 'eppstein', 'lubiw', 'uehara']",['cs']
9,56,1401114,efficient random sampling of binary and unary-binary trees via holonomic   equations,"['cs.ds', 'math.co']",we present a new uniform random sampler for binary trees with $n$ internal nodes consuming $2n + \theta(\log(n)^2)$ random bits on average. this makes it quasi-optimal and out-performs the classical remy algorithm. we also present a sampler for unary-binary trees with $n$ nodes taking $\theta(n)$ random bits on average. both are the first linear-time algorithms to be optimal up to a constant.,,1/6/2014,1/7/2014,"['bacher', 'bodini', 'jacquot']",['math']
10,42,1308.1603,"a note on topology preservation in classification, and the construction   of a universal neuron grid","['cs.ne', 'cs.ai', 'nlin.ao', 'stat.ml']","it will be shown that according to theorems of k. menger, every neuron grid if identified with a curve is able to preserve the adopted qualitative structure of a data space. furthermore, if this identification is made, the neuron grid structure can always be mapped to a subset of a universal neuron grid which is constructable in three space dimensions. conclusions will be drawn for established neuron grid types as well as neural fields.",,8/7/2013,2/1/2018,['volz'],['cs']
11,85,1407.4908,integrating r and hadoop for big data analysis,['cs.dc'],"analyzing and working with big data could be very diffi cult using classical means like relational database management systems or desktop software packages for statistics and visualization. instead, big data requires large clusters with hundreds or even thousands of computing nodes. offi cial statistics is increasingly considering big data for deriving new statistics because big data sources could produce more relevant and timely statistics than traditional sources. one of the software tools successfully and wide spread used for storage and processing of big data sets on clusters of commodity hardware is hadoop. hadoop framework contains libraries, a distributed fi le-system (hdfs), a resource-management platform and implements a version of the mapreduce programming model for large scale data processing. in this paper we investigate the possibilities of integrating hadoop with r which is a popular software used for statistical computing and data visualization. we present three ways of integrating them: r with streaming, rhipe and rhadoop and we emphasize the advantages and disadvantages of each solution.",,7/18/2014,,"['oancea', 'dragoescu']",['math']
12,45,1309.5568,integrating communications and merging messaging via the extensible   messaging and presence protocol,['cs.ni'],"common problems affecting modern email usage include spam, lack of sender verification, lack of built-in security and lack of message integrity. this paper looks at how we can utilise the extensible messaging and presence protocol also known as xmpp to, in time, replace email facilities. we present several methods for initiating a transition away from smtp for email to rely upon the inherent benefits of xmpp with minimal disruption to existing networks and email infrastructure. we look at how a program might be used to open an existing pop3/imap account, scan for messages that can be sent to a xmpp network user, extract the message and then deliver it the xmpp user's client. we show that the system can be implemented and then deployed with a minimum of hassle and network disruption to demonstrate xmpp as a reliable and fast replacement for email as we know it today.",,9/22/2013,2/24/2018,['coleman'],['cs']
13,72,1403.5715,mining attribute-based access control policies from logs,"['cs.cr', 'cs.db']","attribute-based access control (abac) provides a high level of flexibility that promotes security and information sharing. abac policy mining algorithms have potential to significantly reduce the cost of migration to abac, by partially automating the development of an abac policy from information about the existing access-control policy and attribute data. this paper presents an algorithm for mining abac policies from operation logs and attribute data. to the best of our knowledge, it is the first algorithm for this problem.",,3/22/2014,2/12/2018,"['xu', 'stoller']",['math']
14,13,1101.1477,asynchronous code-division random access using convex optimization,"['cs.it', 'math.it']","many applications in cellular systems and sensor networks involve a random subset of a large number of users asynchronously reporting activity to a base station. this paper examines the problem of multiuser detection (mud) in random access channels for such applications. traditional orthogonal signaling ignores the random nature of user activity in this problem and limits the total number of users to be on the order of the number of signal space dimensions. contention-based schemes, on the other hand, suffer from delays caused by colliding transmissions and the hidden node problem. in contrast, this paper presents a novel pairing of an asynchronous non-orthogonal code-division random access scheme with a convex optimization-based mud algorithm that overcomes the issues associated with orthogonal signaling and contention-based methods. two key distinguishing features of the proposed mud algorithm are that it does not require knowledge of the delay or channel state information of every user and it has polynomial-time computational complexity. the main analytical contribution of this paper is the relationship between the performance of the proposed mud algorithm in the presence of arbitrary or random delays and two simple metrics of the set of user codewords. the study of these metrics is then focused on two specific sets of codewords, random binary codewords and specially constructed algebraic codewords, for asynchronous random access. the ensuing analysis confirms that the proposed scheme together with either of these two codeword sets significantly outperforms the orthogonal signaling-based random access in terms of the total number of users in the system.",10.1016/j.phycom.2011.09.006,1/7/2011,6/20/2011,"['applebaum', 'bajwa', 'duarte', 'calderbank']",['cs']
15,48,1310.6398,some remarks on lower bounds for queue machines (preliminary report),"['cs.cc', 'cs.fl']","we first give an improved lower bound for the deterministic online simulation of tapes or pushdown stores by queues. then we inspect some proofs in a classical work on queue machines in the area of formal languages and outline why a main argument in the proofs is incomplete. based on descriptional complexity, we show the intuition behind the argument to be correct.",,10/23/2013,3/11/2018,['petersen'],['math']
