,im_path,set_name,sharpness,noise,motion_blur,contrast,saturation,lines,symmetry,faces,number_of_faces,faces_sharp_all,faces_noise_all,faces_motion_blur_all,closed_eyes
0,100/img-2011-07-01-0955-1.JPG,100,32.0,15.0,42.0,"[0.5731577, 0.27944005, 0.8156862780451775]",0.10466746985912323,"[1.5437758776076318, 74.02702209328699]","[9.9622532831943, 10.225385181389074]",rectangles[],0,[],[],[],[]
1,100/img-2011-07-01-0955.JPG,100,39.0,17.0,62.0,"[0.6489286, 0.3046805, 0.8901960775256157]",0.09222488105297089,"[1.2106031823770664, 82.28000972289685]","[10.172878889713823, 10.398059382866535]","rectangles[[(1650, 480) (2205, 1035)]]",1,[7.0],[3.0],[16.0],"[[0, 0]]"
2,101/img-2011-07-01-1103-1.JPG,101,41.0,25.0,58.0,"[0.37268257, 0.19458061, 0.45098041743040085]",0.19544044137001038,"[-0.050803704058221655, 118.15244390193544]","[10.244997618169029, 10.302721859421906]","rectangles[[(796, 904) (903, 1011)]]",1,[10.0],[5.0],[17.0],"[[0, 0]]"
3,101/img-2011-07-01-1103-2.JPG,101,46.0,25.0,63.0,"[0.38713935, 0.21667577, 0.4745098277926445]",0.17426015436649323,"[0.14725175576814542, 211.28653530218153]","[10.261489011750744, 10.409289848862151]",rectangles[],0,[],[],[],[]
4,101/img-2011-07-01-1103-3.JPG,101,45.0,30.0,67.0,"[0.39063844, 0.19301292, 0.4274510070681572]",0.18303216993808746,"[1.4930313871921643, 77.23341245859851]","[10.182868887824348, 10.334961763794334]",rectangles[],0,[],[],[],[]
5,101/img-2011-07-01-1103-4.JPG,101,44.0,23.0,59.0,"[0.38866284, 0.21640727, 0.4705882593989372]",0.16903631389141083,"[-0.194365266095018, 129.43724348115578]","[10.236233281913705, 10.361771346808826]","rectangles[[(882, 779) (1067, 965)]]",1,[9.0],[6.0],[14.0],"[[1, 0]]"
6,101/img-2011-07-01-1103-5.JPG,101,44.0,28.0,64.0,"[0.3841148, 0.19036672, 0.41568630188703537]",0.19000542163848877,"[-1.5530676879723229, 282.04432275796654]","[10.24757133181729, 10.335918269314117]","rectangles[[(882, 779) (1067, 965)]]",1,[10.0],[7.0],[15.0],"[[0, 0]]"
7,101/img-2011-07-01-1103.JPG,101,45.0,23.0,59.0,"[0.37207887, 0.21985084, 0.5019608065485954]",0.17466087639331818,"[0.17176015132820327, 99.46356116689167]","[10.341704474622627, 10.339033779878383]","rectangles[[(784, 899) (913, 1028)]]",1,[14.0],[6.0],[24.0],"[[0, 0]]"
8,102/img-2011-07-01-1103-6.JPG,102,38.0,18.0,66.0,"[0.66811305, 0.25249857, 0.6705882400274277]",0.17451466619968414,"[1.4181469983996315, 52.61178575186362]","[10.31339847234249, 10.256314104683495]","rectangles[[(290, 1788) (675, 2173)], [(502, 798) (1167, 1464)]]",2,"[11.0, 20.0]","[8.0, 11.0]","[17.0, 33.0]","[[0, 0], [0, 0]]"
9,102/img-2011-07-01-1103-7.JPG,102,45.0,25.0,79.0,"[0.71786237, 0.25280568, 0.6666666567325592]",0.16572873294353485,"[-0.4726971357145894, 98.8382517044894]","[10.243321545841656, 10.304512924938985]","rectangles[[(290, 1788) (675, 2173)], [(502, 798) (1167, 1464)]]",2,"[18.0, 28.0]","[13.0, 17.0]","[27.0, 43.0]","[[0, 0], [0, 0]]"
