,im_path,set_name,sharpness,noise,motion_blur,contrast,saturation,lines,symmetry,faces,number_of_faces,faces_sharp_all,faces_noise_all,faces_motion_blur_all,eye_ear_list
0,set_1/IMG_6797.jpg,set_1,24.0,8.0,42.0,"[0.50958836, 0.26625744, 0.7411764785647392]",0.3522800803184509,"[1.0673969423982426, 157.54364474646383]","[10.264886977608956, 10.309380359916169]",rectangles[],0,[],[],[],[]
1,set_1/IMG_7799.jpg,set_1,9.0,8.0,13.0,"[0.63635236, 0.13536888, 0.3450980484485626]",0.5038870573043823,"[0, 0]","[10.19715059161079, 10.402027959352706]",rectangles[],0,[],[],[],[]
2,set_1/IMG_7803.jpg,set_1,12.0,10.0,18.0,"[0.47199246, 0.1351103, 0.2980392277240753]",0.32234761118888855,"[0, 0]","[10.261884173224134, 10.279767322383616]",rectangles[],0,[],[],[],[]
3,set_1/IMG_7927.jpg,set_1,38.0,13.0,50.0,"[0.5207321, 0.2424102, 0.6235294193029404]",0.2741430699825287,"[-0.0511281102033495, 469.6136710105446]","[10.191584043461615, 10.367842812728345]","rectangles[[(1685, 1390) (2351, 2055)]]",1,[15.0],[5.0],[27.0],"[(0.4022864971185822, 0.41113933159336175)]"
4,set_2/2017-01-15 10.22.00.jpg,set_2,76.0,64.0,109.0,"[0.7114161, 0.23837735, 0.6313725411891937]",0.17807669937610626,"[-0.017542060057402487, 57.0087712549569]","[10.16868079407535, 10.308909221114467]","rectangles[[(1003, 647) (1270, 914)]]",1,[17.0],[12.0],[31.0],"[(0.28082797815086524, 0.2665141644195273)]"
5,set_2/IMG_8083.jpg,set_2,20.0,10.0,30.0,"[0.39448515, 0.28821626, 0.7607843205332756]",0.1938704550266266,"[-0.7086262721276703, 92.19544457292888]","[10.165202634699034, 10.285418876202577]",rectangles[],0,[],[],[],[]
6,set_3/IMG_6902.jpg,set_3,12.0,6.0,22.0,"[0.40090415, 0.2585876, 0.6588235348463058]",0.42572662234306335,"[-1.512040504079174, 51.088159097779204]","[10.24494437236587, 10.321153505176607]","rectangles[[(936, 1150) (1895, 2108)]]",1,[7.0],[4.0],[10.0],"[(0.3357420555768575, 0.3317166109657804)]"
7,set_3/IMG_7869.jpg,set_3,53.0,36.0,75.0,"[0.47222304, 0.27809653, 0.7450980395078659]",0.24733373522758484,"[-1.5707963267948966, 201.0]","[10.336007992366381, 10.366503052565813]","rectangles[[(759, 1427) (1221, 1889)]]",1,[4.0],[2.0],[7.0],"[(0.2685712915946598, 0.3199039189848625)]"
8,set_3/img-2011-11-21-1332.JPG,set_3,20.0,7.0,35.0,"[0.6825012, 0.20161936, 0.5607843101024628]",0.13019639253616333,"[-1.5145177905061347, 71.11258679024411]","[10.278629421198154, 10.25119016228856]","rectangles[[(736, 1197) (2116, 2577)]]",1,[7.0],[5.0],[15.0],"[(0.43026057275388424, 0.4274667880629303)]"
9,set_4/2018-02-22 11.15.44.jpg,set_4,68.0,40.0,99.0,"[0.5919957, 0.2553144, 0.7490196079015732]",0.27877363562583923,"[-0.11065722117389565, 90.55385138137417]","[10.236011170500802, 10.308486400154491]","rectangles[[(911, 2637) (1466, 3192)]]",1,[10.0],[4.0],[16.0],"[(0.2962999403272415, 0.2870554541016524)]"
10,set_4/img-2011-10-27-0444.JPG,set_4,22.0,9.0,38.0,"[0.37772164, 0.3052247, 0.7647058889269829]",0.46717357635498047,"[0.06656816377582381, 120.26637102698326]","[10.280165038212695, 10.387073739096923]","rectangles[[(1315, 1020) (1981, 1686)], [(849, 2144) (1404, 2699)]]",2,"[6.0, 10.0]","[3.0, 3.0]","[14.0, 21.0]","[(0.36430634852228505, 0.36012866491554435), (0.40683388665203557, 0.39730125029780217)]"
